BuildTree = 1,640000
FN : Dist = 1, Mean = 0,0023500000219792130000000, var = 0,0000241275004804507400000
FN : Dist = 2, Mean = 0,0029150000022491440000000, var = 0,0000333477750457377850000
FN : Dist = 3, Mean = 0,0024800000106915830000000, var = 0,0000275762667503422300000
FN : Dist = 4, Mean = 0,0026825000063399784000000, var = 0,0000294516935325573170000
FN : Dist = 5, Mean = 0,0021540000054519623000000, var = 0,0000246862838305302300000
FN : Dist = 6, Mean = 0,0029083333511759216000000, var = 0,0002250899339188641600000
FN : Dist = 7, Mean = 0,0029585714440327140000000, var = 0,0002339111435530391000000
FN : Dist = 8, Mean = 0,0027787500142585487000000, var = 0,0002055948008400649400000
FN : Dist = 9, Mean = 0,0026611111249722954000000, var = 0,0001836418231375746600000
FN : Dist = 10, Mean = 0,0025630000130040570000000, var = 0,0001660460329452165600000
FN : Dist = 11, Mean = 0,0023309091027741407000000, var = 0,0001514905009473055600000
FN : Dist = 12, Mean = 0,0022266666791013754000000, var = 0,0001392402905191098300000
FN : Dist = 13, Mean = 0,0021953846293931400000000, var = 0,0001291879802259952400000
FN : Dist = 14, Mean = 0,0020757143001537770000000, var = 0,0001202014116249596900000
FN : Dist = 15, Mean = 0,0019946666820906100000000, var = 0,0001124159728881360300000
FN : Dist = 16, Mean = 0,0019950000156677560000000, var = 0,0001059974762588494000000
FN : Dist = 17, Mean = 0,0019529411910950920000000, var = 0,0001000319042974408600000
FN : Dist = 18, Mean = 0,0019550000153766530000000, var = 0,0000950096427988988200000
FN : Dist = 19, Mean = 0,0019105263317224423000000, var = 0,0000902067323808013000000
FN : Dist = 20, Mean = 0,0018170000152313150000000, var = 0,0000858645120276054600000
FN : Dist = 21, Mean = 0,0017590476344117806000000, var = 0,0000818914667402170100000
FN : Dist = 22, Mean = 0,0017113636518743904000000, var = 0,0000782780536243295300000
FN : Dist = 23, Mean = 0,0016717391462146263000000, var = 0,0000749839848324230900000
FN : Dist = 24, Mean = 0,0016362500161631033000000, var = 0,0000719622701376356500000
FN : Dist = 25, Mean = 0,0016012000162154436000000, var = 0,0000691813593940406900000
FN : Dist = 26, Mean = 0,0015942307853122027000000, var = 0,0000667126598280307800000
FN : Dist = 27, Mean = 0,0015548148311036467000000, var = 0,0000643106998159990700000
FN : Dist = 28, Mean = 0,0015750000174323629000000, var = 0,0000624115186238629300000
