BuildTree = 1,173000
FN : Point ID = 1, Mean = 0,0001100000017322599800000, var = 0,0000002978999941427257600
FN : Point ID = 2, Mean = 0,0000850000022910535300000, var = 0,0000001777749997222791100
FN : Point ID = 3, Mean = 0,0000933333366022755800000, var = 0,0000001512888918363407500
FN : Point ID = 4, Mean = 0,0000825000030454248200000, var = 0,0000001256937533531815500
FN : Point ID = 5, Mean = 0,0007740000139456242000000, var = 0,0000040269240788571770000
FN : Point ID = 6, Mean = 0,0006466666783671826000000, var = 0,0000034384889576187184000
FN : Point ID = 7, Mean = 0,0005557142958111529000000, var = 0,0000029983245505918516000
FN : Point ID = 8, Mean = 0,0004875000088941306000000, var = 0,0000026573438044625495000
FN : Point ID = 9, Mean = 0,0004333333412392272000000, var = 0,0000023855556048232724000
FN : Point ID = 10, Mean = 0,0007650000128196552000000, var = 0,0000036517750811308160000
FN : Point ID = 11, Mean = 0,0006954545571087775000000, var = 0,0000033681612324011620000
FN : Point ID = 12, Mean = 0,0006383333440559605000000, var = 0,0000031241972925663288000
FN : Point ID = 13, Mean = 0,0005900000099343462000000, var = 0,0000029126692966890165000
FN : Point ID = 14, Mean = 0,0005478571520818930000000, var = 0,0000027277097558662903000
FN : Point ID = 15, Mean = 0,0005120000086414317000000, var = 0,0000025645227251710104000
FN : Point ID = 16, Mean = 0,0006475000110367546000000, var = 0,0000029544938156532710000
FN : Point ID = 17, Mean = 0,0007676470726180602000000, var = 0,0000033301298389844722000
FN : Point ID = 18, Mean = 0,0007250000130281680000000, var = 0,0000031760417444657140000
FN : Point ID = 19, Mean = 0,0006873684334201052000000, var = 0,0000030348931494411080000
FN : Point ID = 20, Mean = 0,0006530000117490999000000, var = 0,0000029055910717240544000
FN : Point ID = 21, Mean = 0,0006219047730943809000000, var = 0,0000027865678694580830000
FN : Point ID = 22, Mean = 0,0005936363743173636000000, var = 0,0000026766868433313033000
FN : Point ID = 23, Mean = 0,0005678260971731303000000, var = 0,0000025749649034285940000
FN : Point ID = 24, Mean = 0,0005445833431440406000000, var = 0,0000024805123883000155000
FN : Point ID = 25, Mean = 0,0005232000094372779000000, var = 0,0000023926618198556977000
FN : Point ID = 26, Mean = 0,0006196153960011613000000, var = 0,0000027410768464691340000
FN : Point ID = 27, Mean = 0,0005966666776307479000000, var = 0,0000026532482173312950000
FN : Point ID = 28, Mean = 0,0008057142992454048000000, var = 0,0000206358247058930800000
FN : Point ID = 29, Mean = 0,0007782758751498727000000, var = 0,0000199456662022354870000
FN : Point ID = 30, Mean = 0,0008723333484570807000000, var = 0,0000197207014419818550000
FN : Point ID = 31, Mean = 0,0008445161436834643000000, var = 0,0000191080830438746240000
FN : Point ID = 32, Mean = 0,0008184375142081990000000, var = 0,0000185323477661572260000
FN : Point ID = 33, Mean = 0,0008527272880063251000000, var = 0,0000180922503423574800000
FN : Point ID = 34, Mean = 0,0009173529572880772000000, var = 0,0000178169931942351950000
FN : Point ID = 35, Mean = 0,0008914285870934172000000, var = 0,0000173310695839778760000
FN : Point ID = 36, Mean = 0,0008666666818963778000000, var = 0,0000168711113026371520000
FN : Point ID = 37, Mean = 0,0008432432580613406000000, var = 0,0000164348869657140160000
FN : Point ID = 38, Mean = 0,0008210526460070948000000, var = 0,0000160206096010448300000
FN : Point ID = 39, Mean = 0,0008551282199242941000000, var = 0,0000157520892641176880000
FN : Point ID = 40, Mean = 0,0008337500144261867000000, var = 0,0000153761111116580650000
FN : Point ID = 41, Mean = 0,0008134146482206699000000, var = 0,0000150176250961214020000
FN : Point ID = 42, Mean = 0,0007940476327868445000000, var = 0,0000146754409265921460000
FN : Point ID = 43, Mean = 0,0008269767583142099000000, var = 0,0000144728538140610930000
FN : Point ID = 44, Mean = 0,0008790909239641306000000, var = 0,0000143494720640897560000
FN : Point ID = 45, Mean = 0,0008595555700982610000000, var = 0,0000140473866293389560000
FN : Point ID = 46, Mean = 0,0009404347991348122000000, var = 0,0000166712348328991630000
FN : Point ID = 47, Mean = 0,0009204255480893907000000, var = 0,0000163349447346544100000
FN : Point ID = 48, Mean = 0,0009012500158375285000000, var = 0,0000160119153347624700000
FN : Point ID = 49, Mean = 0,0009530612413191750000000, var = 0,0000159137153514609980000
FN : Point ID = 50, Mean = 0,0009342000165022910000000, var = 0,0000156130705887277180000
FN : Point ID = 51, Mean = 0,0009160784475605788000000, var = 0,0000153235456304441300000
FN : Point ID = 52, Mean = 0,0008984615543382600000000, var = 0,0000150446901618949920000
FN : Point ID = 53, Mean = 0,0008815094495394249000000, var = 0,0000147757715239380730000
FN : Point ID = 54, Mean = 0,0009211111272667983000000, var = 0,0000146752582413763940000
FN : Point ID = 55, Mean = 0,0009043636522255838000000, var = 0,0000144235811719550340000
FN : Point ID = 56, Mean = 0,0008882143012929841000000, var = 0,0000141803613069095100000
FN : Point ID = 57, Mean = 0,0008726315942527563000000, var = 0,0000139451810008567600000
FN : Point ID = 58, Mean = 0,0009322413961515473000000, var = 0,0000140273055397293980000
FN : Point ID = 59, Mean = 0,0009166101860553342000000, var = 0,0000138038938092917000000
FN : Point ID = 60, Mean = 0,0009606666839875591000000, var = 0,0000137657864391908310000
FN : Point ID = 61, Mean = 0,0010142623124354076000000, var = 0,0000138737312216456220000
FN : Point ID = 62, Mean = 0,0009979032428799979000000, var = 0,0000136662861317937880000
FN : Point ID = 63, Mean = 0,0009820635088660296000000, var = 0,0000134649165798616200000
FN : Point ID = 64, Mean = 0,0009667187665399979000000, var = 0,0000132693613086769060000
FN : Point ID = 65, Mean = 0,0009520000162928436000000, var = 0,0000130792346592154760000
FN : Point ID = 66, Mean = 0,0009819697135544354000000, var = 0,0000130049781338102940000
FN : Point ID = 67, Mean = 0,0009673134491730260000000, var = 0,0000128250511842100160000
FN : Point ID = 68, Mean = 0,0009530882513910697000000, var = 0,0000126500053592021830000
FN : Point ID = 69, Mean = 0,0009392753781825034000000, var = 0,0000124796460399078090000
FN : Point ID = 70, Mean = 0,0009258571584941820000000, var = 0,0000123137887369478840000
FN : Point ID = 71, Mean = 0,0009129577619023621000000, var = 0,0000121521421396684130000
FN : Point ID = 72, Mean = 0,0009002777929870516000000, var = 0,0000119947778821580020000
FN : Point ID = 73, Mean = 0,0008880822067882559000000, var = 0,0000118413102000625380000
FN : Point ID = 74, Mean = 0,0008760810958857119000000, var = 0,0000116918064410494040000
FN : Point ID = 75, Mean = 0,0008644000146072358000000, var = 0,0000115460128153297530000
FN : Point ID = 76, Mean = 0,0008952631728147695000000, var = 0,0000115174514203215400000
FN : Point ID = 77, Mean = 0,0008836363783626297000000, var = 0,0000113781479876898300000
FN : Point ID = 78, Mean = 0,0008724359119794546000000, var = 0,0000112420609030604860000
FN : Point ID = 79, Mean = 0,0008613924194227527000000, var = 0,0000111092691154429170000
FN : Point ID = 80, Mean = 0,0008803750145452796000000, var = 0,0000110490650247437860000
FN : Point ID = 81, Mean = 0,0008695061872052144000000, var = 0,0000109221073271805140000
FN : Point ID = 82, Mean = 0,0008590244044402115000000, var = 0,0000107979309174458670000
FN : Point ID = 83, Mean = 0,0008486747128204499000000, var = 0,0000106766188857857970000
FN : Point ID = 84, Mean = 0,0008385714424297302000000, var = 0,0000105579885940285550000
FN : Point ID = 85, Mean = 0,0008698823674417594000000, var = 0,0000105767166183934880000
FN : Point ID = 86, Mean = 0,0008597674561924366000000, var = 0,0000104624280129522940000
FN : Point ID = 87, Mean = 0,0008866666814167823000000, var = 0,0000104575005436145080000
FN : Point ID = 88, Mean = 0,0009335227420855187000000, var = 0,0000106747854725077160000
FN : Point ID = 89, Mean = 0,0009230337225115241000000, var = 0,0000105645257814878880000
FN : Point ID = 90, Mean = 0,0009452222371085857000000, var = 0,0000105282217692567360000
FN : Point ID = 91, Mean = 0,0009713186968148656000000, var = 0,0000105324742399027800000
FN : Point ID = 92, Mean = 0,0009608695805503015000000, var = 0,0000104280341797516520000
FN : Point ID = 93, Mean = 0,0009761290478655288000000, var = 0,0000103746991462491270000
FN : Point ID = 94, Mean = 0,0009898936328047174000000, var = 0,0000103219192880970780000
FN : Point ID = 95, Mean = 0,0009794736998278255000000, var = 0,0000102234735564193810000
FN : Point ID = 96, Mean = 0,0009692708487879524000000, var = 0,0000101268683662930760000
FN : Point ID = 97, Mean = 0,0009886598096891623000000, var = 0,0000101103870125920950000
FN : Point ID = 98, Mean = 0,0009785714442841708000000, var = 0,0000100170919844835410000
FN : Point ID = 99, Mean = 0,0009946464806103684000000, var = 0,0000099861331028974840000
FN : Point ID = 100, Mean = 0,0009848000158090143000000, var = 0,0000098959691059157780000
